"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","193","done_rateとtask_countの値がstring型の場合でもUIがクラッシュしないこと","chromium","2025-12-13","passed","2025-12-13","APIテスト > JSON返却動作 > 異常系","e2e/mypage/mypage-api.spec.ts","",""
"","233","表示フォーマットが正しいこと","chromium","2025-12-13","passed","2025-12-13","マイページ（APIモック） > フォーマット","e2e/mypage/mypage-api.spec.ts","",""
"","194","ユーザー名のみ未入力で未入力エラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 未入力","e2e/auth/login.spec.ts","",""
"","205","ユーザー名が日本語でも正しく表示されること","chromium","2025-12-13","passed","2025-12-13","マイページ（APIモック） > ユーザー名","e2e/mypage/mypage-api.spec.ts","",""
"","234","タスク名を未入力で未入力エラーが表示されること","chromium","2025-12-13","passed","2025-12-13","タスク新規作成画面 > 新規作成 > 動作（異常系）","e2e/tasks/tasks-create.spec.ts","",""
"","297","パスワードのみ未入力で未入力エラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 未入力","ci/auth/login.spec.ts","",""
"","2316","スタッツの値が正しいこと","chromium","2025-12-13","passed","2025-12-13","マイページ > タスクN件：完了率100%","e2e/mypage/mypage-basic.spec.ts","",""
"","11","done_rateとtask_countの値がnumber型であること","chromium","2025-12-13","passed","2025-12-13","APIテスト > JSON返却動作 > 正常系","e2e/mypage/mypage-api.spec.ts","",""
"","463","未完了 → 完了に更新できること","chromium","2025-12-13","passed","2025-12-13","タスク編集画面 > 動作（正常系） > 完了チェック","e2e/tasks/tasks-edit.spec.ts","",""
"","183","タスク編集画面_ID無し（/edit）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 画面遷移","ci/smoke/all-pages-smoke.spec.ts","",""
"","10","done_rateの値が100%になること","chromium","2025-12-13","passed","2025-12-13","APIテスト > done_rateの計算処理 > 正常系","e2e/mypage/mypage-api.spec.ts","",""
"","172","ユーザー3の一覧にユーザー4のタスクが表示されていないこと","chromium","2025-12-13","passed","2025-12-13","タスク一覧画面 > 他人のタスク > 表示確認","e2e/tasks/tasks-list.spec.ts","",""
"","354","ログイン認証保持：user5","setup","2025-12-13","passed","2025-12-13","","ci/helpers/auth.setup.ts","",""
"","270","ログイン認証保持：user5","setup","2025-12-13","passed","2025-12-13","","e2e/helpers/auth.setup.ts","",""
"","575","完了 → 未完了に更新できること","chromium","2025-12-13","passed","2025-12-13","タスク編集画面 > 動作（正常系） > 完了チェック","e2e/tasks/tasks-edit.spec.ts","",""
"","13","done_rateの値が0%になること","chromium","2025-12-13","passed","2025-12-13","APIテスト > done_rateの計算処理 > 正常系","e2e/mypage/mypage-api.spec.ts","",""
"","180","ユーザー名のみ不正でログインエラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 不正","e2e/auth/login.spec.ts","",""
"","152","タスク削除_ID無し（/delete）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 操作系URLへの直接アクセス","e2e/smoke/all-pages-smoke.spec.ts","",""
"","102","タスク削除_存在しないID(/delete/id)はNotFoundが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 異常系","e2e/smoke/all-pages-smoke.spec.ts","",""
"","92","タスク一覧（/）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 画面遷移","e2e/smoke/all-pages-smoke.spec.ts","",""
"","240","タスク総数が100000の場合の表示が正しいこと","chromium","2025-12-13","passed","2025-12-13","マイページ（APIモック） > タスク総数","e2e/mypage/mypage-api.spec.ts","",""
"","270","ログイン認証保持：user8","setup","2025-12-13","passed","2025-12-13","","e2e/helpers/auth.setup.ts","",""
"","352","ログイン認証保持：user2","setup","2025-12-13","passed","2025-12-13","","ci/helpers/auth.setup.ts","",""
"","193","基本要素が表示されていること","chromium","2025-12-13","passed","2025-12-13","ログイン","ci/auth/login.spec.ts","",""
"","269","ログイン認証保持：user9","setup","2025-12-13","passed","2025-12-13","","e2e/helpers/auth.setup.ts","",""
"","444","未完了タスクのタスク名を変更できること","chromium","2025-12-13","passed","2025-12-13","タスク編集画面 > 動作（正常系） > タスク名変更","e2e/tasks/tasks-edit.spec.ts","",""
"","272","ログイン認証保持：user10","setup","2025-12-13","passed","2025-12-13","","e2e/helpers/auth.setup.ts","",""
"","359","ログイン認証保持：user4","setup","2025-12-13","passed","2025-12-13","","ci/helpers/auth.setup.ts","",""
"","144","タスク削除_ID有（/delete/id）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 操作系URLへの直接アクセス","ci/smoke/all-pages-smoke.spec.ts","",""
"","576","完了済みタスクのタスク名を変更できること","chromium","2025-12-13","passed","2025-12-13","タスク編集画面 > 動作（正常系） > タスク名変更","e2e/tasks/tasks-edit.spec.ts","",""
"","303","ユーザー名、パスワード共に未入力で未入力エラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 未入力","ci/auth/login.spec.ts","",""
"","108","タスク削除_ID無し（/delete）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 操作系URLへの直接アクセス","e2e/smoke/all-pages-smoke.spec.ts","",""
"","302","ユーザー名のみ未入力で未入力エラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 未入力","ci/auth/login.spec.ts","",""
"","240","マイページ_ビジュアルリグレッション","chromium","2025-12-13","passed","2025-12-13","","e2e/visual/mypage-v.spec.ts","",""
